Metadados;Duarte;Eduardo;F�bio;;mean;desv pad;>2.5
MT0000202045.mp3;5;5;5;;5;0;1
MT0012862507.mp3;1;3;2;;2;0,707106781;0
MT0014475915.mp3;3;4;4;;3,666666667;0,40824829;1
MT0000888329.mp3;4;4;5;;4,333333333;0,40824829;1
MT0003022328.mp3;2;3;3;;2,666666667;0,40824829;1
MT0001494812.mp3;2;2;1;;1,666666667;0,40824829;0
MT0031898123.mp3;2;2;2;;2;0;0
MT0007556029.mp3;3;3;3;;3;0;1
MT0004867564.mp3;1;1;1;;1;0;0
MT0011922905.mp3;3;3;2;;2,666666667;0,40824829;1
MT0030369896.mp3;2;1;2;;1,666666667;0,40824829;0
MT0007453719.mp3;2;1;3;;2;0,707106781;0
MT0034186620.mp3;2;2;3;;2,333333333;0,40824829;0
MT0001058887.mp3;3;3;4;;3,333333333;0,40824829;1
MT0003025046.mp3;1;2;2;;1,666666667;0,40824829;0
MT0004850690.mp3;1;1;3;;1,666666667;0,816496581;0
MT0005285696.mp3;1;1;1;;1;0;0
MT0034577404.mp3;2;2;2;;2;0;0
MT0011938737.mp3;1;2;2;;1,666666667;0,40824829;0
MT0002846256.mp3;1;1;1;;1;0;0
MT0011051663.mp3;1;1;3;;1,666666667;0,816496581;0
;;;;;;;7
mean;2,047619048;2,238095238;2,571428571;;2,285714286;;prec
DES PAD;1,064987856;1,124308349;1,150945405;;1,021415705;;33,33333333
