Metadados;Duarte;Eduardo;F�bio;;mean;DESV PAD;>2.5
MT0000379144.mp3;5;5;5;;5;0;1
MT0031951901.mp3;2;2;4;;2,666666667;0,816496581;1
MT0014584473.mp3;2;3;3;;2,666666667;0,40824829;1
MT0013416300.mp3;1;3;2;;2;0,707106781;0
MT0013080259.mp3;3;4;4;;3,666666667;0,40824829;1
MT0011032905.mp3;1;3;3;;2,333333333;0,816496581;0
MT0005157391.mp3;2;3;5;;3,333333333;1,08012345;1
MT0005253065.mp3;1;3;3;;2,333333333;0,816496581;0
MT0008170600.mp3;5;2;5;;4;1,224744871;1
MT0007652281.mp3;4;3;4;;3,666666667;0,40824829;1
MT0007349999.mp3;3;1;2;;2;0,707106781;0
MT0007338724.mp3;1;1;4;;2;1,224744871;0
MT0001526386.mp3;5;3;5;;4,333333333;0,816496581;1
MT0004287283.mp3;5;2;5;;4;1,224744871;1
MT0005115042.mp3;4;3;4;;3,666666667;0,40824829;1
MT0004131058.mp3;3;3;3;;3;0;1
MT0001929641.mp3;4;2;4;;3,333333333;0,816496581;1
MT0001934726.mp3;3;2;4;;3;0,707106781;1
MT0003863509.mp3;3;2;2;;2,333333333;0,40824829;0
MT0029877658.mp3;4;2;3;;3;0,707106781;1
MT0003114552.mp3;4;2;3;;3;0,707106781;1
;;;;;;;15
mean;3,095238095;2,571428571;3,666666667;;3,111111111;;prec
DESV PAD;1,345185418;0,88273483;0,969223369;;0,787101404;;71,42857143
