Top100 cosine;Duarte;Eduardo;F�bio;
MT0000956340.mp3;5;5;5;
MT0003106472.mp3;0;5;0;
MT0010736208.mp3;0;3;0;
MT0014703649.mp3;0;5;0;
MT0005409948.mp3;0;4;0;
MT0014615863.mp3;0;3;0;
MT0004882280.mp3;0;1;0;
MT0013612461.mp3;0;4;0;
MT0003724610.mp3;0;2;0;
MT0002372242.mp3;0;3;0;
MT0004032071.mp3;0;1;0;
MT0010615428.mp3;0;3;0;
MT0040033011.mp3;0;4;0;
MT0007535042.mp3;0;1;0;
MT0004293364.mp3;0;4;0;
MT0009800907.mp3;0;2;0;
MT0004028719.mp3;0;1;0;
MT0030036616.mp3;0;3;0;
MT0004085907.mp3;0;2;0;
MT0010624346.mp3;0;3;0;
MT0014794891.mp3;0;2;0;
